Disease,Fertilizer_Advice,Irrigation_Advice
BacterialBlights,"Phosphorus-rich fertilizer (SSP/DAP 100–125 kg P2O5/ha); foliar ZnSO4 0.5% + FeSO4 0.5%","Moderate irrigation, avoid waterlogging"
BacterialBlights,"FYM 20 t/ha + pressmud compost; sett treatment with Trichoderma","Irrigate normally: 25 mm every 5 days"
BacterialBlights,"Biofertilizers: Azospirillum + Acetobacter to reduce nitrogen stress","Drip irrigation at 75% ETc every 3 days"
BacterialBlights,"Gypsum application for soil health","Furrow irrigation with drainage"
BacterialBlights,"Micronutrient fertigation (Zn, Fe, Mn, Cu, B)","Drip irrigation with split application"
BacterialBlights,"Foliar Fe-EDTA 50 ppm for iron deficiency","Irrigate moderately, avoid stagnation"
BacterialBlights,"Green manure incorporation (sunnhemp, sesbania)","Irrigate at 25 mm every 6 days"
BacterialBlights,"Balanced NPK with reduced nitrogen","Irrigate lightly but frequently"
BacterialBlights,"Trichoderma compost + FYM","Maintain irrigation at 25 mm every 5 days"
BacterialBlights,"Integrated nutrient management: RDF + organic amendments","Irrigate moderately with drip"

Healthy,"Balanced NPK (225–250:115:115 kg/ha) + FYM 20 t/ha","Irrigate normally: 25 mm every 5 days"
Healthy,"Fertigation with water-soluble NPK (280:62.5:120 kg/ha)","Drip irrigation at 75% ETc every 3 days"
Healthy,"Micronutrient sprays (ZnSO4 0.5%, FeSO4 0.5%, MnSO4 0.5%)","Maintain irrigation with good drainage"
Healthy,"Pressmud compost 25 t/ha","Furrow irrigation at 7–10 day intervals"
Healthy,"Biofertilizers: Azospirillum + PSB","Irrigate normally with good drainage"
Healthy,"Foliar KCl 2% during drought","Supplement irrigation during stress"
Healthy,"Green manure incorporation","Irrigate at 25 mm every 6 days"
Healthy,"Micronutrient fertigation (Zn, Fe, Mn, Cu, B)","Drip irrigation with split application"
Healthy,"Trichoderma compost + FYM","Maintain irrigation at 25 mm every 5 days"
Healthy,"Integrated nutrient management: RDF + biofertilizers","Irrigate moderately with drip"

Mosaic,"Reduce nitrogen; balanced NPK; foliar ZnSO4 0.5% + FeSO4 0.5%","Moderate irrigation, avoid waterlogging"
Mosaic,"Biofertilizers: Acetobacter + Azospirillum","Irrigate lightly to avoid excess humidity"
Mosaic,"RDF + mudpress + microbial inoculant","Maintain moderate irrigation, ensure drainage"
Mosaic,"Micronutrient sprays (Zn, Fe, Mn)","Irrigate moderately, avoid stagnation"
Mosaic,"Organic manure + pressmud compost","Maintain irrigation at 25 mm every 5 days"
Mosaic,"Balanced NPK with reduced nitrogen","Irrigate at 25 mm every 6 days"
Mosaic,"Biofertilizers: Azotobacter + PSB","Irrigate lightly, avoid excess water"
Mosaic,"Foliar Fe-EDTA 50 ppm","Irrigate moderately with drip"
Mosaic,"Green manure incorporation","Maintain irrigation at 25 mm every 5 days"
Mosaic,"Compost + vermicompost application","Drip irrigation with mulching"

RedRot,"Phosphorus-rich fertilizer (SSP/DAP 100–125 kg P2O5/ha)","Ensure drainage; avoid water stagnation"
RedRot,"Balanced NPK with emphasis on potassium","Irrigate moderately"
RedRot,"Trichoderma compost + FYM","Maintain irrigation at 25 mm every 5 days"
RedRot,"Gypsum + pressmud application","Furrow irrigation with drainage"
RedRot,"Biofertilizers: PSB + Azotobacter","Maintain irrigation at 25 mm every 6 days"
RedRot,"Micronutrient sprays (Zn, Fe)","Irrigate lightly but frequently"
RedRot,"Green manure incorporation","Maintain irrigation at 25 mm every 5 days"
RedRot,"Compost + vermicompost","Drip irrigation with mulching"
RedRot,"Foliar borax 0.2% for boron deficiency","Irrigate moderately with drip"
RedRot,"Integrated nutrient management: RDF + organic amendments","Maintain irrigation at 25 mm every 5 days"

Rust,"Balanced NPK with higher potassium; avoid excess nitrogen","Increase irrigation: 30 mm every 3–4 days"
Rust,"FYM + micronutrients (Zn, Fe, Mn)","Irrigate moderately with drip to reduce humidity"
Rust,"Phosphorus and potassium fertilizers","Follow standard irrigation schedule"
Rust,"Foliar KCl 2%","Irrigate lightly but regularly"
Rust,"RDF + pressmud compost","Maintain irrigation at 25 mm every 5 days"
Rust,"Biofertilizers: Azospirillum + PSB","Irrigate moderately with drip"
Rust,"Micronutrient sprays (Zn, Fe, Mn)","Maintain irrigation at 25 mm every 6 days"
Rust,"Green manure incorporation","Irrigate with furrow method"
Rust,"Compost + vermicompost","Maintain irrigation at 25 mm every 5 days"
Rust,"Foliar Fe-EDTA 50 ppm","Irrigate moderately with drip"

Yellow,"Foliar ZnSO4 0.5% + FeSO4 0.5%","Increase irrigation: 30 mm every 3–4 days"
Yellow,"Balanced NPK (225:115:115 kg/ha) + micronutrient mixture","Maintain irrigation at 25 mm every 5 days"
Yellow,"FYM 20 t/ha + pressmud compost","Furrow irrigation at 7–10 day intervals"
Yellow,"Biofertilizers: Azospirillum + PSB","Drip irrigation at 75% ETc every 3 days"
Yellow,"Micronutrient fertigation (Zn, Fe, Mn, Cu, B)","Drip irrigation with split application"
Yellow,"Foliar borax 0.2% for boron deficiency","Supplement irrigation during drought stress"
Yellow,"Green manure incorporation","Irrigate at 25 mm every 6 days"
Yellow,"Trichoderma compost + FYM","Maintain irrigation at 25 mm every 5 days"
Yellow,"Foliar Fe-EDTA 50 ppm","Irrigate moderately, avoid stagnation"
Yellow,"Integrated nutrient management: RDF + organic amendments","Irrigate moderately with drip"
